Repeat,Generation,X1,X2,F(x)
12,40,-1.4232089723048755303125290083698928356170654296875,-0.801556420233463740032675559632480144500732421875,186.718944308901740214423625729978084564208984375,
12,50,-1.4232089723048755303125290083698928356170654296875,-0.801556420233463740032675559632480144500732421875,186.718944308901740214423625729978084564208984375,
Repeat,Generation,X1,X2,F(x)
13,0,-7.89791714351110130110100726597011089324951171875,5.3493553063248651113781306776218116283416748046875,90.755183795254168899191427044570446014404296875,
13,10,-7.76607919432364379730415748781524598598480224609375,5.4583047226672771756739166448824107646942138671875,177.868883959993723919978947378695011138916015625,
13,20,-7.71206225680933865618271738640032708644866943359375,5.4753948271915771073281575809232890605926513671875,186.574813695041626715465099550783634185791015625,
13,30,-7.71084153505760294677884303382597863674163818359375,5.4839398794537270731552780489437282085418701171875,186.713471560480599009679281152784824371337890625,
13,40,-7.70840009155413152797109432867728173732757568359375,5.4836346990157931458043094608001410961151123046875,186.729579716316294479838688857853412628173828125,
13,50,-7.70840009155413152797109432867728173732757568359375,5.4836346990157931458043094608001410961151123046875,186.729579716316294479838688857853412628173828125,
Repeat,Generation,X1,X2,F(x)
14,0,-2.4303044174868393412225486827082931995391845703125,5.4705119401846342697126601706258952617645263671875,44.216574623639729679780430160462856292724609375,
14,10,-1.4348058289463647696493353578262031078338623046875,-0.796978713664454829768146737478673458099365234375,186.4886758530286670065834186971187591552734375,
14,20,-1.4250400549324790944183405372314155101776123046875,-0.800030518043794103277832618914544582366943359375,186.730704042510438966928631998598575592041015625,
14,30,-1.4250400549324790944183405372314155101776123046875,-0.800030518043794103277832618914544582366943359375,186.730704042510438966928631998598575592041015625,
14,40,-1.4250400549324790944183405372314155101776123046875,-0.800030518043794103277832618914544582366943359375,186.730704042510438966928631998598575592041015625,
14,50,-1.4250400549324790944183405372314155101776123046875,-0.800030518043794103277832618914544582366943359375,186.730704042510438966928631998598575592041015625,
Repeat,Generation,X1,X2,F(x)
15,0,-7.93850614175631363877982948906719684600830078125,-0.857404440375372445259927189908921718597412109375,82.35673742480395276288618333637714385986328125,
15,10,-7.70473792629892439975947127095423638820648193359375,-0.832990005340658257182440138421952724456787109375,184.337939622644995552036562003195285797119140625,
15,20,-7.71206225680933865618271738640032708644866943359375,-0.798809796292058393873958266340196132659912109375,186.69315225221163245805655606091022491455078125,
15,30,-7.70748455024032974591818856424652040004730224609375,-0.798809796292058393873958266340196132659912109375,186.724259809376093244281946681439876556396484375,
15,40,-7.70931563286793331002400009310804307460784912109375,-0.800335698481728030628801207058131694793701171875,186.728569536011718810186721384525299072265625,
15,50,-7.70931563286793331002400009310804307460784912109375,-0.800335698481728030628801207058131694793701171875,186.728569536011718810186721384525299072265625,
Repeat,Generation,X1,X2,F(x)
16,0,-1.4607461661707485944816653500311076641082763671875,-8.26474402990768197696525021456182003021240234375,77.2129047933585752616636455059051513671875,
16,10,-1.4409094377050433166687071206979453563690185546875,-7.019607843137254832299731788225471973419189453125,177.327053535179658183551509864628314971923828125,
16,20,-1.4219882505531398209086546557955443859100341796875,-7.078812848096436738387637888081371784210205078125,186.659265328967677533000824041664600372314453125,
16,30,-1.4232089723048755303125290083698928356170654296875,-7.080033569848172447791512240655720233917236328125,186.695680402612339321422041393816471099853515625,
16,40,-1.4253452353704130217693091253750026226043701171875,-7.080033569848172447791512240655720233917236328125,186.70416151104421942363842390477657318115234375,
16,50,-1.4253452353704130217693091253750026226043701171875,-7.080033569848172447791512240655720233917236328125,186.70416151104421942363842390477657318115234375,
Repeat,Generation,X1,X2,F(x)
17,0,-6.5502403295948727901532038231380283832550048828125,-7.2802319371328305663837454630993306636810302734375,64.8139372245213252199391718022525310516357421875,
17,10,-7.73891813534752426306795314303599298000335693359375,5.4781414511329824534868748742155730724334716796875,184.524191277081996531705954112112522125244140625,
17,20,-7.71572442206454578439434044412337243556976318359375,5.4775310902571145987849376979283988475799560546875,186.54036180568147074154694564640522003173828125,
17,30,-7.71511406118867792969240326783619821071624755859375,5.4836346990157931458043094608001410961151123046875,186.622049821356739585098694078624248504638671875,
17,40,-7.70351720454718869035559691837988793849945068359375,5.4796673533226520902417178149335086345672607421875,186.65462535124470377922989428043365478515625,
17,50,-7.70626382848859403651431421167217195034027099609375,5.4802777141985199449436549912206828594207763671875,186.706320978604964011537958867847919464111328125,
Repeat,Generation,X1,X2,F(x)
18,0,0.8293278400854493526139776804484426975250244140625,-7.032730601968413708391381078399717807769775390625,52.71006358051413798193607362918555736541748046875,
18,10,5.4885175860227359834198068710975348949432373046875,4.837567711909667167446968960575759410858154296875,185.689305160760824264798429794609546661376953125,
18,20,5.4763103685053788893810633453540503978729248046875,4.864118410009918846981236129067838191986083984375,186.550171279423608439174131490290164947509765625,
18,30,5.4860761425192645646120581659488379955291748046875,4.864118410009918846981236129067838191986083984375,186.62234914449010148018714971840381622314453125,
18,40,5.4836346990157931458043094608001410961151123046875,4.864118410009918846981236129067838191986083984375,186.64381421801709848296013660728931427001953125,
18,50,5.4811932555123217269965607556514441967010498046875,4.859235523002976009365738718770444393157958984375,186.72149856363142816917388699948787689208984375,
Repeat,Generation,X1,X2,F(x)
19,0,-0.7096971084153498310342911281622946262359619140625,-1.4818036163881895816984979319386184215545654296875,162.5491986215498627643682993948459625244140625,
19,10,5.4833295185778592184533408726565539836883544921875,-1.4402990768291754619667699444107711315155029296875,186.196778806886726442826329730451107025146484375,
19,20,5.4814984359502556543475293437950313091278076171875,-1.4293125810635540773319007712416350841522216796875,186.686036522376895163688459433615207672119140625,
19,30,5.4842450598916610005062466370873153209686279296875,-1.4232089723048755303125290083698928356170654296875,186.71810441604003472093609161674976348876953125,
19,40,5.4830243381399252911023722845129668712615966796875,-1.4250400549324790944183405372314155101776123046875,186.7308339650338666615425609052181243896484375,
19,50,5.4830243381399252911023722845129668712615966796875,-1.4250400549324790944183405372314155101776123046875,186.7308339650338666615425609052181243896484375,
Repeat,Generation,X1,X2,F(x)
20,0,-0.841535057602808223009560606442391872406005859375,-1.4259555962462808764712463016621768474578857421875,182.968747361227173087172559462487697601318359375,
20,10,-0.797894254978256611821052501909434795379638671875,-1.4259555962462808764712463016621768474578857421875,186.71630444357941769339959137141704559326171875,
20,20,-0.800946059357595885330738383345305919647216796875,-1.4259555962462808764712463016621768474578857421875,186.728451393041012806861544959247112274169921875,
20,30,-0.800946059357595885330738383345305919647216796875,-1.4259555962462808764712463016621768474578857421875,186.728451393041012806861544959247112274169921875,
20,40,-0.800946059357595885330738383345305919647216796875,-1.4259555962462808764712463016621768474578857421875,186.728451393041012806861544959247112274169921875,
20,50,-0.800946059357595885330738383345305919647216796875,-1.4259555962462808764712463016621768474578857421875,186.728451393041012806861544959247112274169921875,
Repeat,Generation,X1,X2,F(x)
21,0,-0.15243762874799671180880977772176265716552734375,4.3514152742809191209971686475910246372222900390625,45.60605107606934183195335208438336849212646484375,
21,10,-6.994583047226672789520307560451328754425048828125,-7.6916151674677646354894022806547582149505615234375,169.2071398216706938910647295415401458740234375,
21,20,-7.087357900358586704214758356101810932159423828125,-7.71999694819562076730790067813359200954437255859375,186.3812600557292853409308008849620819091796875,
21,30,-7.086442359044784922161852591671049594879150390625,-7.71053635461966901942787444568239152431488037109375,186.7003482944811594279599376022815704345703125,
21,40,-7.082780193789577793950229533948004245758056640625,-7.71023117418173509207690585753880441188812255859375,186.72117968244828034585225395858287811279296875,
