Repeat,Generation,X1,X2,F(x)
11,10,-0.891445661793877519585294066928327083587646484375,-7.78679769280068345693734954693354666233062744140625,156.0416944659822320318198762834072113037109375,
11,20,-0.79378643147068572716307244263589382171630859375,-1.4401684621723074286592236603610217571258544921875,186.112378786118398465987411327660083770751953125,
11,30,-0.79500717184972558015942922793328762054443359375,-1.4261299478133491192011206294409930706024169921875,186.666223593076978204408078454434871673583984375,
11,40,-0.79927976317636506564667797647416591644287109375,-1.4261299478133491192011206294409930706024169921875,186.726175866810308434651233255863189697265625,
11,50,-0.79927976317636506564667797647416591644287109375,-1.4261299478133491192011206294409930706024169921875,186.726175866810308434651233255863189697265625,
Repeat,Generation,X1,X2,F(x)
12,0,-1.5329447309793380327391787432134151458740234375,-0.851161229285562370705520152114331722259521484375,156.304820977575644747048499993979930877685546875,
12,10,-1.415143284401988665877070161513984203338623046875,-0.79195532090212594766853726468980312347412109375,186.3436343018502157065086066722869873046875,
12,20,-1.424298837244787563349746051244437694549560546875,-0.79439680166020565366125083528459072113037109375,186.651818477764294357257313095033168792724609375,
12,30,-1.425519577623827416346102836541831493377685546875,-7.08365123447370859111060781287960708141326904296875,186.730505932177294425855507142841815948486328125,
12,40,-1.425519577623827416346102836541831493377685546875,-7.08365123447370859111060781287960708141326904296875,186.730505932177294425855507142841815948486328125,
12,50,-1.425519577623827416346102836541831493377685546875,-7.08365123447370859111060781287960708141326904296875,186.730505932177294425855507142841815948486328125,
Repeat,Generation,X1,X2,F(x)
13,0,4.840540787987915649637216120027005672454833984375,-1.9650868251594584279473565402440726757049560546875,76.4769538061834595055188401602208614349365234375,
13,10,-1.415753654591508592375248554162681102752685546875,-0.77608569597460785871589905582368373870849609375,185.235317436100700660972506739199161529541015625,
13,20,-1.412091433454389033386178198270499706268310546875,-0.78096865749076727070132619701325893402099609375,185.5105492797802071436308324337005615234375,
13,30,-1.425519577623827416346102836541831493377685546875,-0.78829309976500638867946690879762172698974609375,186.411512201047600001402315683662891387939453125,
13,40,-1.425519577623827416346102836541831493377685546875,-0.79927976317636506564667797647416591644287109375,186.728156354568881170052918605506420135498046875,
13,50,-1.424909207434307489847924443893134593963623046875,-0.80050050355540491864303476177155971527099609375,186.730725690029174757000873796641826629638671875,
Repeat,Generation,X1,X2,F(x)
14,0,-7.03665272988067247439403217867948114871978759765625,9.9957274086733605145127512514591217041015625,46.7218355071791648924772744067013263702392578125,
14,10,4.80452894680623643353101215325295925140380859375,5.5375835444196912504821739275939762592315673828125,173.915352404815934050930081866681575775146484375,
14,20,4.840540787987915649637216120027005672454833984375,-7.0567949461348309370123388362117111682891845703125,184.458075667924475737891043536365032196044921875,
14,30,4.853358561967834106098962365649640560150146484375,5.4814294869838562362929224036633968353271484375,186.674988140591182173011475242674350738525390625,
14,40,4.861903744621113077073459862731397151947021484375,5.4820398571733761627911007963120937347412109375,186.694878078848176983228768222033977508544921875,
14,50,4.858851893673513444582567899487912654876708984375,5.4832605975524160157874575816094875335693359375,186.72908817633248190759331919252872467041015625,
Repeat,Generation,X1,X2,F(x)
