Repeat,Generation,X1,X2,F(x)
6,10,-0.823529411764706509302413905970752239227294921875,-1.4509803921568629192506705294363200664520263671875,184.005035512563239308292395435273647308349609375,
6,20,-7.098039215686274161498658941127359867095947265625,-1.4509803921568629192506705294363200664520263671875,184.724289758670266792250913567841053009033203125,
6,30,-7.098039215686274161498658941127359867095947265625,-1.4509803921568629192506705294363200664520263671875,184.724289758670266792250913567841053009033203125,
6,40,-7.098039215686274161498658941127359867095947265625,-1.4509803921568629192506705294363200664520263671875,184.724289758670266792250913567841053009033203125,
6,50,-7.098039215686274161498658941127359867095947265625,-1.4509803921568629192506705294363200664520263671875,184.724289758670266792250913567841053009033203125,
Repeat,Generation,X1,X2,F(x)
7,0,-0.2745098039215694285530844354070723056793212890625,-7.098039215686274161498658941127359867095947265625,111.122986101028544680957566015422344207763671875,
7,10,-1.4509803921568629192506705294363200664520263671875,-7.098039215686274161498658941127359867095947265625,184.724289758670266792250913567841053009033203125,
7,20,-7.72549019607843145962533526471816003322601318359375,-7.098039215686274161498658941127359867095947265625,185.5815857990866106774774380028247833251953125,
7,30,-7.72549019607843145962533526471816003322601318359375,-7.098039215686274161498658941127359867095947265625,185.5815857990866106774774380028247833251953125,
7,40,-7.72549019607843145962533526471816003322601318359375,-7.098039215686274161498658941127359867095947265625,185.5815857990866106774774380028247833251953125,
7,50,-7.72549019607843145962533526471816003322601318359375,-7.098039215686274161498658941127359867095947265625,185.5815857990866106774774380028247833251953125,
Repeat,Generation,X1,X2,F(x)
8,0,-0.980392156862745167700268211774528026580810546875,-6.5490196078431370807493294705636799335479736328125,72.417437251799356090486980974674224853515625,
8,10,-7.098039215686274161498658941127359867095947265625,-1.4509803921568629192506705294363200664520263671875,184.724289758670266792250913567841053009033203125,
8,20,-7.098039215686274161498658941127359867095947265625,-1.4509803921568629192506705294363200664520263671875,184.724289758670266792250913567841053009033203125,
8,30,-7.098039215686274161498658941127359867095947265625,-1.4509803921568629192506705294363200664520263671875,184.724289758670266792250913567841053009033203125,
8,40,-7.098039215686274161498658941127359867095947265625,-1.4509803921568629192506705294363200664520263671875,184.724289758670266792250913567841053009033203125,
8,50,-7.098039215686274161498658941127359867095947265625,-1.4509803921568629192506705294363200664520263671875,184.724289758670266792250913567841053009033203125,
Repeat,Generation,X1,X2,F(x)
9,0,-1.294117647058822484495976823382079601287841796875,5.6862745098039209068474519881419837474822998046875,83.592540568645972598460502922534942626953125,
9,10,-7.17647058823529437887600579415448009967803955078125,4.901960784313725838501341058872640132904052734375,163.70004459012915276616695336997509002685546875,
9,20,-0.823529411764706509302413905970752239227294921875,4.901960784313725838501341058872640132904052734375,181.036095058876213670373545028269290924072265625,
9,30,-0.823529411764706509302413905970752239227294921875,4.823529411764706509302413905970752239227294921875,182.814007886989173812253284268081188201904296875,
9,40,-0.823529411764706509302413905970752239227294921875,4.823529411764706509302413905970752239227294921875,182.814007886989173812253284268081188201904296875,
9,50,-7.098039215686274161498658941127359867095947265625,4.823529411764706509302413905970752239227294921875,183.5286065448698309410247020423412322998046875,
Repeat,Generation,X1,X2,F(x)
10,0,9.529411764705880472092758282087743282318115234375,-1.4509803921568629192506705294363200664520263671875,45.15602644174938262722207582555711269378662109375,
10,10,-0.823529411764706509302413905970752239227294921875,-1.4509803921568629192506705294363200664520263671875,184.005035512563239308292395435273647308349609375,
10,20,-7.098039215686274161498658941127359867095947265625,-1.4509803921568629192506705294363200664520263671875,184.724289758670266792250913567841053009033203125,
10,30,-7.098039215686274161498658941127359867095947265625,-1.4509803921568629192506705294363200664520263671875,184.724289758670266792250913567841053009033203125,
